GOTERM,GONAME,Fasta,NaCl60gLRPKM,NaCl20_100_3.6gLRPKM,Treatment
GO:0006865,amino acid transport,TD01GL002902,1.548294216,1.710937675,20gNaCl
GO:0006865,amino acid transport,TD01GL002962,1.786376449,1.770331436,20gNaCl
GO:0006865,amino acid transport,TD01GL002978,2.000025659,1.992245859,20gNaCl
GO:0006865,amino acid transport,TD01GL003009,1.606260951,1.766634311,20gNaCl
GO:0006865,amino acid transport,TD01GL003139,1.747667762,2.192127334,20gNaCl
GO:0006865,amino acid transport,TD01GL003150,2.244198951,1.652412683,20gNaCl
GO:0006865,amino acid transport,TD01GL003255,2.051489008,2.357821343,20gNaCl
GO:0006865,amino acid transport,TD01GL003256,1.985041628,2.871651231,20gNaCl
GO:0006865,amino acid transport,TD01GL003606,3.433037015,0.88752614,20gNaCl
GO:0006865,amino acid transport,TD01GL003609,3.811403823,1.471778664,20gNaCl
GO:0006865,amino acid transport,TD01GL003616,1.466588819,1.956615818,20gNaCl
GO:0006865,amino acid transport,TD01GL003620,1.498976185,1.432932558,20gNaCl
GO:0006865,amino acid transport,TD01GL003639,2.209017351,2.026559949,20gNaCl
GO:0006865,amino acid transport,TD01GL003640,3.521772209,2.219298726,20gNaCl
GO:0006865,amino acid transport,TD01GL003641,2.956218555,1.765460632,20gNaCl
GO:0006865,amino acid transport,TD01GL003642,2.885795738,1.432916205,20gNaCl
GO:0006865,amino acid transport,TD01GL003792,2.149712536,1.982183574,20gNaCl
GO:0006865,amino acid transport,TD01GL003793,2.787154939,2.589216783,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL000005,2.023366659,2.380899309,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL000009,2.30095405,2.115730888,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL000010,2.007498289,1.918418404,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL000011,1.577192326,1.824175481,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL000016,1.672540396,1.993433765,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL000017,2.095270066,2.071676825,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL000018,1.9455687,1.950797734,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL000019,1.754821852,1.916144818,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL000020,2.328693819,2.505193466,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL000030,2.106749163,2.252750558,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL000048,2.603014445,2.997207711,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL000049,2.247273391,2.398067146,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL000050,1.689991081,2.215916292,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL000053,2.153701372,2.531003607,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL000224,2.306227126,2.32463733,20gNaCl
GO:0005975,carbohydrate metabolic process,TD01GL000234,2.045485292,1.608033673,20gNaCl
